Date,City,AQI
31-01-2016,Karimnagar,69
29-02-2016,Karimnagar,59
31-03-2016,Karimnagar,44
30-04-2016,Karimnagar,62
31-05-2016,Karimnagar,52
30-06-2016,Karimnagar,48
31-07-2016,Karimnagar,32
31-08-2016,Karimnagar,36
30-09-2016,Karimnagar,31
31-10-2016,Karimnagar,56
30-11-2016,Karimnagar,69
31-12-2016,Karimnagar,84
31-01-2017,Karimnagar,83
28-02-2017,Karimnagar,74
31-03-2017,Karimnagar,86
30-04-2017,Karimnagar,79
31-05-2017,Karimnagar,82
30-06-2017,Karimnagar,59
31-07-2017,Karimnagar,55
31-08-2017,Karimnagar,55
30-09-2017,Karimnagar,62
31-10-2017,Karimnagar,71
30-11-2017,Karimnagar,91
31-12-2017,Karimnagar,90
31-01-2018,Karimnagar,111
28-02-2018,Karimnagar,87
31-03-2018,Karimnagar,89
30-04-2018,Karimnagar,100
31-05-2018,Karimnagar,100
30-06-2018,Karimnagar,100
31-07-2018,Karimnagar,89
31-08-2018,Karimnagar,91
30-09-2018,Karimnagar,100
31-10-2018,Karimnagar,98
30-11-2018,Karimnagar,106
31-12-2018,Karimnagar,100
31-01-2019,Karimnagar,104
28-02-2019,Karimnagar,102
31-03-2019,Karimnagar,103
30-04-2019,Karimnagar,109
31-05-2019,Karimnagar,103
30-06-2019,Karimnagar,99
31-07-2019,Karimnagar,100
31-08-2019,Karimnagar,99
30-09-2019,Karimnagar,97
31-10-2019,Karimnagar,102
30-11-2019,Karimnagar,105
31-12-2019,Karimnagar,112
31-01-2020,Karimnagar,111
29-02-2020,Karimnagar,114
31-03-2020,Karimnagar,110
30-04-2020,Karimnagar,39
31-05-2020,Karimnagar,72
30-06-2020,Karimnagar,58
31-07-2020,Karimnagar,114
31-08-2020,Karimnagar,70
30-09-2020,Karimnagar,96
31-10-2020,Karimnagar,137
30-11-2020,Karimnagar,114
31-12-2020,Karimnagar,108
31-01-2021,Karimnagar,110
28-02-2021,Karimnagar,110
31-03-2021,Karimnagar,69
30-04-2021,Karimnagar,73
31-05-2021,Karimnagar,68
30-06-2021,Karimnagar,72
31-07-2021,Karimnagar,57
31-08-2021,Karimnagar,64
30-09-2021,Karimnagar,66
31-10-2021,Karimnagar,68
30-11-2021,Karimnagar,73
31-12-2021,Karimnagar,82
31-01-2022,Karimnagar,83
28-02-2022,Karimnagar,90
31-03-2022,Karimnagar,96
30-04-2022,Karimnagar,70
31-05-2022,Karimnagar,76
30-06-2022,Karimnagar,89
31-07-2022,Karimnagar,69
31-08-2022,Karimnagar,55
30-09-2022,Karimnagar,58
31-10-2022,Karimnagar,63
30-11-2022,Karimnagar,101
31-12-2022,Karimnagar,126
