Date,City,AQI,,,,,,,,,,,,,
31-01-2016,Nizamabad,62,,,,,,,,,,,,,
29-02-2016,Nizamabad,64,,,,,,,,,,,,,
31-03-2016,Nizamabad,66,,,,,,,,,,,,,
30-04-2016,Nizamabad,68,,,,,,,,,,,,,
31-05-2016,Nizamabad,69,,,,,,,,,,,,,
30-06-2016,Nizamabad,38,,,,,,,,,,,,,
31-07-2016,Nizamabad,57,,,,,,,,,,,,,
31-08-2016,Nizamabad,58,,,,,,,,,,,,,
30-09-2016,Nizamabad,56,,,,,,,,,,,,,
31-10-2016,Nizamabad,64,,,,,,,,,,,,,
30-11-2016,Nizamabad,60,,,,,,,,,,,,,
31-12-2016,Nizamabad,62,,,,,,,,,,,,,
31-01-2017,Nizamabad,61,,,,,,,,,,,,,
28-02-2017,Nizamabad,62,,,,,,,,,,,,,
31-03-2017,Nizamabad,63,,,,,,,,,,,,,
30-04-2017,Nizamabad,67,,,,,,,,,,,,,
31-05-2017,Nizamabad,68,,,,,,,,,,,,,
30-06-2017,Nizamabad,63,,,,,,,,,,,,,
31-07-2017,Nizamabad,57,,,,,,,,,,,,,
31-08-2017,Nizamabad,60,,,,,,,,,,,,,
30-09-2017,Nizamabad,59,,,,,,,,,,,,,
31-10-2017,Nizamabad,61,,,,,,,,,,,,,
30-11-2017,Nizamabad,61,,,,,,,,,,,,,
31-12-2017,Nizamabad,59,,,,,,,,,,,,,
31-01-2018,Nizamabad,61,,,,,,,,,,,,,
28-02-2018,Nizamabad,61,,,,,,,,,,,,,
31-03-2018,Nizamabad,66,,,,,,,,,,,,,
30-04-2018,Nizamabad,70,,,,,,,,,,,,,
31-05-2018,Nizamabad,54,,,,,,,,,,,,,
30-06-2018,Nizamabad,64,,,,,,,,,,,,,
31-07-2018,Nizamabad,59,,,,,,,,,,,,,
31-08-2018,Nizamabad,60,,,,,,,,,,,,,
30-09-2018,Nizamabad,64,,,,,,,,,,,,,
31-10-2018,Nizamabad,48,,,,,,,,,,,,,
30-11-2018,Nizamabad,60,,,,,,,,,,,,,
31-12-2018,Nizamabad,62,,,,,,,,,,,,,
31-01-2019,Nizamabad,64,,,,,,,,,,,,,
28-02-2019,Nizamabad,61,,,,,,,,,,,,,
31-03-2019,Nizamabad,61,,,,,,,,,,,,,
30-04-2019,Nizamabad,62,,,,,,,,,,,,,
31-05-2019,Nizamabad,64,,,,,,,,,,,,,
30-06-2019,Nizamabad,69,,,,,,,,,,,,,
31-07-2019,Nizamabad,72,,,,,,,,,,,,,
31-08-2019,Nizamabad,71,,,,,,,,,,,,,
30-09-2019,Nizamabad,61,,,,,,,,,,,,,
31-10-2019,Nizamabad,69,,,,,,,,,,,,,
30-11-2019,Nizamabad,62,,,,,,,,,,,,,
31-12-2019,Nizamabad,66,,,,,,,,,,,,,
31-01-2020,Nizamabad,64,,,,,,,,,,,,,
29-02-2020,Nizamabad,64,,,,,,,,,,,,,
31-03-2020,Nizamabad,66,,,,,,,,,,,,,
30-04-2020,Nizamabad,38,,,,,,,,,,,,,
31-05-2020,Nizamabad,50,,,,,,,,,,,,,
30-06-2020,Nizamabad,52,,,,,,,,,,,,,
31-07-2020,Nizamabad,63,,,,,,,,,,,,,
31-08-2020,Nizamabad,60,,,,,,,,,,,,,
30-09-2020,Nizamabad,62,,,,,,,,,,,,,
31-10-2020,Nizamabad,62,,,,,,,,,,,,,
30-11-2020,Nizamabad,63,,,,,,,,,,,,,
31-12-2020,Nizamabad,81,,,,,,,,,,,,,
31-01-2021,Nizamabad,69,,,,,,,,,,,,,
28-02-2021,Nizamabad,68,,,,,,,,,,,,,
31-03-2021,Nizamabad,66,,,,,,,,,,,,,
30-04-2021,Nizamabad,69,,,,,,,,,,,,,
31-05-2021,Nizamabad,41,,,,,,,,,,,,,
30-06-2021,Nizamabad,47,,,,,,,,,,,,,
31-07-2021,Nizamabad,54,,,,,,,,,,,,,
31-08-2021,Nizamabad,45,,,,,,,,,,,,,
30-09-2021,Nizamabad,43,,,,,,,,,,,,,
31-10-2021,Nizamabad,59,,,,,,,,,,,,,
30-11-2021,Nizamabad,66,,,,,,,,,,,,,
31-12-2021,Nizamabad,57,,,,,,,,,,,,,
31-01-2022,Nizamabad,56,,,,,,,,,,,,,
28-02-2022,Nizamabad,59,,,,,,,,,,,,,
31-03-2022,Nizamabad,64,,,,,,,,,,,,,
30-04-2022,Nizamabad,58,,,,,,,,,,,,,
31-05-2022,Nizamabad,56,,,,,,,,,,,,,
30-06-2022,Nizamabad,54,,,,,,,,,,,,,
31-07-2022,Nizamabad,46,,,,,,,,,,,,,
31-08-2022,Nizamabad,53,,,,,,,,,,,,,
30-09-2022,Nizamabad,54,,,,,,,,,,,,,
31-10-2022,Nizamabad,63,,,,,,,,,,,,,
30-11-2022,Nizamabad,56,,,,,,,,,,,,,
31-12-2022,Nizamabad,59,,,,,,,,,,,,,
